system,system_id,image_id,band,route,thumbnail,claimed_instrument,claimed_wavelength,claimed_source_figure,bibcode,arxiv,target_ok,instrument_ok,wavelength_ok,reference_ok,crop_clean,notes
HR 4796A,hr-4796a,hr-4796a_visao-rodigas2015,vis,targeted,images/hr-4796a/hr-4796a_visao-rodigas2015.png,Magellan-MagAO / VisAO,Ys 0.99 um (MagAO/VisAO ADI; debris ring),"Rodigas et al. 2015, Fig. 1e (crop)",2015ApJ...798...96R,1410.7753,,,,,,
Elias 24,elias-24,elias-24_eris2025,nir,targeted,images/elias-24/elias-24_eris2025.png,VLT / ERIS/vAPP,"4 um (M-band, mid-IR scattered light, RDI)","Maio et al. 2025, Fig. 9 (crop)",2025A&A...698A..52M,2504.19810,,,,,,
HIP 39017,hip-39017,hip-39017_charis2024,nir,targeted,images/hip-39017/hip-39017_charis2024.png,Subaru-SCExAO / CHARIS IFS (ADI),JHK broadband (1.1-2.4 um),"Tobin et al. 2024, Fig. 2 (crop)",2024AJ....167..205T,2403.04000,,,,,,
PDS 110,pds-110,pds-110_destinys-orion,nir,survey,images/pds-110/pds-110_destinys-orion.png,VLT-SPHERE / IRDIS DPI,H band 1.6 um (Qphi pol. intensity),"Valegard et al. 2024, Fig. 2 (crop)",2024A&A...685A..54V,2403.02156,,,,,,
WSB 52,wsb-52,wsb-52_dsharp,mm,survey,images/wsb-52/wsb-52_dsharp.png,ALMA / Band 6,1.25 mm continuum,"Andrews et al. 2018, Fig. 3 (crop)",2018ApJ...869L..41A,1812.04040,,,,,,
FU Ori,fu-ori,fu-ori_alma2020,mm,targeted,images/fu-ori/fu-ori_alma2020.png,ALMA / Band 6,1.3 mm (Band 6),"Perez et al. 2020, Fig. 1 (crop)",2020ApJ...889...59P,1911.11282,,,,,,
HD 98363,hd-98363,hd-98363_discs,nir,survey,images/hd-98363/hd-98363_discs.png,Gemini-GPI / IFS pol,H band 1.6 um (Qr pol. intensity),"Hom et al. 2025, Fig. 1 (crop)",2025AJ....170...46H,2505.02976,,,,,,
HD 206893,hd-206893,hd-206893_alma2020,mm,targeted,images/hd-206893/hd-206893_alma2020.png,ALMA / Band 6,1.3 mm continuum,"Marino et al. 2020, Fig. 1 (crop)",2020MNRAS.498.1319M,2010.12582,,,,,,
HD 10638,hd-10638,hd-10638_reasons,mm,survey,images/hd-10638/hd-10638_reasons.png,ALMA/SMA / Band 6/7,~0.9-1.3 mm continuum,"Matrà et al. 2025, Fig. 1 (crop)",2025A&A...693A.151M,2501.09058,,,,,,
RY Tau,ry-tau,ry-tau_alice-f110w,nir,survey,images/ry-tau/ry-tau_alice-f110w.png,HST / NICMOS,"F110W 1.1 um (ALICE archival reprocessing, combined coadd)","ALICE HLSP v1 combined coadd (HST program 10177, STScI) — hi-res: ALICE archive (STScI)",2018AJ....155..179H,1802.07754,,,,,,
HD 294260,hd-294260,hd-294260_destinys-orion,nir,survey,images/hd-294260/hd-294260_destinys-orion.png,VLT-SPHERE / IRDIS DPI,H band 1.6 um (Qphi pol. intensity),"Valegard et al. 2024, Fig. 2 (crop)",2024A&A...685A..54V,2403.02156,,,,,,
2MASS J16163345-2521505,2mass-j16163345-2521505,2mass-j16163345-2521505_agepro,mm,survey,images/2mass-j16163345-2521505/2mass-j16163345-2521505_agepro.png,ALMA / Band 6,1.3 mm continuum,"Zhang et al. 2025, Fig. 3 (crop)",2025ApJ...989....1Z,2506.10719,,,,,,
LkHa 263C,lkha-263c,lkha-263c_jedice,nir,survey,images/lkha-263c/lkha-263c_jedice.png,JWST / NIRSpec IFU (G395H),"near-IR continuum (median, G395H cube)","Bergner et al. 2026, Fig. 1 (crop)",2026ApJ..1002...17B,2603.18163,,,,,,
AB Aur,ab-aur,ab-aur_sphere2020,nir,targeted,images/ab-aur/ab-aur_sphere2020.png,VLT-SPHERE / IRDIS,H band 1.6 um (pol. intensity),"Boccaletti et al. 2020, Fig. 1a (crop)",2020A&A...637L...5B,2005.09064,,,,,,
HH 30,hh-30,hh-30_nicmos2001,nir,targeted,images/hh-30/hh-30_nicmos2001.png,HST / NICMOS (NIC2),near-IR (F110W/F160W/F204M three-color composite),"Cotera et al. 2001, Fig. 1 (crop)",2001ApJ...556..958C,astro-ph/0104066,,,,,,
SO 662,so-662,so-662_alma-huang2024,mm,targeted,images/so-662/so-662_alma-huang2024.png,ALMA / Band 6,1.3 mm continuum,"Huang et al. 2024, Fig. 3 (crop: SO 662)",2024ApJ...976..132H,2410.03823,,,,,,
HR 4796A,hr-4796a,hr-4796a_nici2014-j,nir,targeted,images/hr-4796a/hr-4796a_nici2014-j.png,Gemini-South / NICI,J band,"Wahhaj et al. 2014, Fig. 1 (crop: J panel)",2014A&A...567A..34W,1404.6525,,,,,,
TW Hya,tw-hya,tw-hya_alma2016,mm,targeted,images/tw-hya/tw-hya_alma2016.png,ALMA / Band 7,870 um continuum,"Andrews et al. 2016, Fig. 1 (crop)",2016ApJ...820L..40A,1603.09352,,,,,,
HD 169142,hd-169142,hd-169142_lucas2025-vampires-mbi,vis,targeted,images/hd-169142/hd-169142_lucas2025-vampires-mbi.png,Subaru-SCExAO / VAMPIRES,"MBI 0.61-0.76 um (Qphi x r^2, 2024-07-29 epoch)","Lucas et al. 2025, Fig. 3 (crop)",2025AJ....170..278L,2509.15323,,,,,,
HD 146181,hd-146181,hd-146181_sphere-debris-2025,nir,survey,images/hd-146181/hd-146181_sphere-debris-2025.png,VLT-SPHERE / IRDIS/IFS,H band 1.6 um (total intensity),"Engler et al. 2025, Fig. 2a (crop)",2025A&A...704A..21E,2512.03128,,,,,,
DM Tau,dm-tau,dm-tau_alice-f160w,nir,survey,images/dm-tau/dm-tau_alice-f160w.png,HST / NICMOS,"F160W 1.6 um (ALICE archival reprocessing, combined coadd)","ALICE HLSP v1 combined coadd (HST program 10177, STScI) — hi-res: ALICE archive (STScI)",2018AJ....155..179H,1802.07754,,,,,,
DoAr 28,doar-28,doar-28_hiciao2014,nir,survey,images/doar-28/doar-28_hiciao2014.png,Subaru-HiCIAO / HiCIAO,H band (pol. intensity),"Rich et al. 2015, Fig. 1 (crop)",2015AJ....150...86R,1507.03014,,,,,,
IQ Tau,iq-tau,iq-tau_taurus-long2018,mm,survey,images/iq-tau/iq-tau_taurus-long2018.png,ALMA / Band 6,1.33 mm continuum,"Long et al. 2018, Fig. 1 (crop)",2018ApJ...869...17L,1810.06044,,,,,,
FW Tau,fw-tau,fw-tau_nirc2-2014,nir,targeted,images/fw-tau/fw-tau_nirc2-2014.png,Keck-NIRC2 / NIRC2 (NGS AO),K' band (2.124 um),"Kraus et al. 2014, Fig. 1 (crop)",2014ApJ...781...20K,1311.7664,,,,,,
PDS 66,pds-66,pds-66_stis-schneider14,vis,survey,images/pds-66/pds-66_stis-schneider14.png,HST / STIS,0.2-1.0 um broadband (optical),Schneider et al. 2014 (crop; per-target STIS PSFTSC figures),2014AJ....148...59S,1406.7303,,,,,,
LkCa 15,lkca-15,lkca-15_sphere-taurus,nir,survey,images/lkca-15/lkca-15_sphere-taurus.png,VLT-SPHERE / IRDIS DPI,J band 1.25 um (pol. intensity),"Garufi et al. 2024, Fig. 2 (crop)",2024A&A...685A..53G,2403.02158,,,,,,
AU Mic,au-mic,au-mic_alma2013,mm,targeted,images/au-mic/au-mic_alma2013.png,ALMA / Band 6,1.3 mm continuum (edge-on belt),"MacGregor et al. 2013, Fig. 1 (crop)",2013ApJ...762L..21M,1211.5148,,,,,,
YSES-1,yses-1,yses-1_jwst2025,nir,targeted,images/yses-1/yses-1_jwst2025.png,JWST / NIRSpec IFU,"NIRSpec IFU prism 4.0 um slice showing b and c; silicate clouds in c, CPD around b","Hoch et al. 2025, Fig. 1 (crop: JWST/NIRSpec IFU 4.0 um datacube slice with b and c)",2025Natur.643..938H,2507.18861,,,,,,
HD 10647,hd-10647,hd-10647_hst2021,vis,targeted,images/hd-10647/hd-10647_hst2021.png,HST / ACS/HRC coronagraph,"F606W (optical, scattered light)","Lovell et al. 2021, Fig. 2 (crop)",2021MNRAS.506.1978L,2106.05975,,,,,,
U Mon,u-mon,u-mon_sphere_irdis,nir,targeted,images/u-mon/u-mon_sphere_irdis.png,VLT / SPHERE/IRDIS,H band (Q_phi polarized intensity),"Andrych et al. 2023, Fig. 4 (crop: U Mon panel)",2023MNRAS.524.4168A,2307.16598,,,,,,
PDS 70,pds-70,pds-70_magao-wagner2018,vis,targeted,images/pds-70/pds-70_magao-wagner2018.png,Magellan-MagAO / VisAO,H-alpha 0.656 um (SDI+; accreting planet b),"Wagner et al. 2018, Fig. 1 left (crop)",2018ApJ...863L...8W,1807.10766,,,,,,
HR 8799,hr-8799,hr-8799_keck2008,nir,targeted,images/hr-8799/hr-8799_keck2008.png,Keck / NIRC2,"JHK composite; b, c, d discovery","Marois et al. 2008, Fig. 1 (crop)",2008Sci...322.1348M,0811.2606,,,,,,
HD 104860,hd-104860,hd-104860_nicmos-ren2023,nir,survey,images/hd-104860/hd-104860_nicmos-ren2023.png,HST / NICMOS,F110W 1.12 um (NMF reprocessing),"Ren et al. 2023, Fig. 3 (crop)",2023A&A...672A.114R,2302.04273,,,,,,
SU Aur,su-aur,su-aur_sphere-taurus,nir,survey,images/su-aur/su-aur_sphere-taurus.png,VLT-SPHERE / IRDIS DPI,H band 1.6 um (pol. intensity),"Garufi et al. 2024, Fig. 2 (crop)",2024A&A...685A..53G,2403.02158,,,,,,
beta Pic,beta-pic,beta-pic_planetd2026-nircam-f444w,nir,targeted,images/beta-pic/beta-pic_planetd2026-nircam-f444w.png,JWST / NIRCam,"F444W 4.44 um (2023-03-18; d arrowed, high-pass filtered)","Sutlieff & Bonse et al. 2026, Fig. 1 (crop)",2026arXiv260623801S,2606.23801,,,,,,
V892 Tau,v892-tau,v892-tau_alma-long2021,mm,targeted,images/v892-tau/v892-tau_alma-long2021.png,ALMA / Band 6,224 GHz (1.3 mm) continuum,"Long et al. 2021, Fig. 1 (crop: 224 GHz panel)",2021ApJ...915..131L,2105.02918,,,,,,
Oph 163131,oph-163131,oph-163131_keck2021,nir,targeted,images/oph-163131/oph-163131_keck2021.png,Keck / NIRC2,K' band (2.2 um) scattered light,"Wolff et al. 2021, Fig. 3 (crop)",2021AJ....161..238W,2103.02665,,,,,,
HD 100453,hd-100453,hd-100453_alma2019,mm,targeted,images/hd-100453/hd-100453_alma2019.png,ALMA / Band 6,"1.3 mm (Band 6, 234 GHz)","van der Plas et al. 2019, Fig. 1 (crop)",2019A&A...624A..33V,1902.00720,,,,,,
TWA 7,twa-7,twa-7_sphere-debris-2025,nir,survey,images/twa-7/twa-7_sphere-debris-2025.png,VLT-SPHERE / IRDIS DPI,H band 1.6 um (pol. intensity),"Engler et al. 2025, Fig. 5b (crop)",2025A&A...704A..21E,2512.03128,,,,,,
WaOph 6,waoph-6,waoph-6_sphere2021,nir,targeted,images/waoph-6/waoph-6_sphere2021.png,VLT-SPHERE / IRDIS DPI,H band (1.6 um),"Brown-Sevilla et al. 2021, Fig. 2 (crop)",2021A&A...654A..35B,2107.13560,,,,,,
NY Ori,ny-ori,ny-ori_zurlo2024,nir,targeted,images/ny-ori/ny-ori_zurlo2024.png,VLT-SPHERE / IRDIS,"H band 1.65 um (Q_phi, polarized intensity)","Zurlo et al. 2024, Fig. 1 (crop)",2024A&A...686A.309Z,2403.12124,,,,,,
HD 100546,hd-100546,hd-100546_alice-f110w,nir,survey,images/hd-100546/hd-100546_alice-f110w.png,HST / NICMOS,"F110W 1.1 um (ALICE archival reprocessing, combined coadd)","ALICE HLSP v1 combined coadd (HST program 11155, STScI) — hi-res: ALICE archive (STScI)",2018AJ....155..179H,1802.07754,,,,,,
HD 181327,hd-181327,hd-181327_nicmos2006,nir,targeted,images/hd-181327/hd-181327_nicmos2006.png,HST / NICMOS,1.1 um; bright ring,"Schneider et al. 2006, Fig. 2a (crop)",2006ApJ...650..414S,astro-ph/0606213,,,,,,
Haro 6-5B,haro-6-5b,haro-6-5b_edgeon-alma2020-b4,mm,survey,images/haro-6-5b/haro-6-5b_edgeon-alma2020-b4.png,ALMA / Band 4,2.1 mm continuum (edge-on),"Villenave et al. 2020, Fig. 1 (crop)",2020A&A...642A.164V,2008.06518,,,,,,
GM Aur,gm-aur,gm-aur_nicmos2003,nir,targeted,images/gm-aur/gm-aur_nicmos2003.png,HST / NICMOS,F110W coronagraphy of the flared disk,"Schneider et al. 2003, Fig. 1 (crop, panels B-C)",2003AJ....125.1467S,,,,,,,
2M1207,2m1207,2m1207_miri2025,mir,targeted,images/2m1207/2m1207_miri2025.png,"JWST / MIRI (Imaging, F1000W/F1500W)",10 and 15 um imaging,"Patapis et al. 2025, Fig. 2 (crop)",2025A&A...704A...5P,2507.08961,,,,,,
GM Aur,gm-aur,gm-aur_acssbc_f140lp,vis,targeted,images/gm-aur/gm-aur_acssbc_f140lp.png,HST / ACS/SBC,"F140LP (~1400 A, FUV scattered light)","Hornbeck et al. 2016, Fig. 4 (crop)",2016ApJ...829...65H,1607.03520,,,,,,
HD 10647,hd-10647,hd-10647_arks,mm,survey,images/hd-10647/hd-10647_arks.png,ALMA / Band 7/6,~0.88-1.3 mm continuum,"Marino et al. 2026, Fig. 3 (crop)",2026A&A...705A.195M,2601.11708,,,,,,
DH Tau,dh-tau,dh-tau_taurus-long2019,mm,survey,images/dh-tau/dh-tau_taurus-long2019.png,ALMA / Band 6,1.33 mm continuum,"Long et al. 2019, Fig. 3 (crop)",2019ApJ...882...49L,1906.10809,,,,,,
Brun 252,brun-252,brun-252_destinys-orion,nir,survey,images/brun-252/brun-252_destinys-orion.png,VLT-SPHERE / IRDIS,H band 1.6 um (total intensity),"Valegard et al. 2024, Fig. 1 thumbnail (crop); companion detected, no disk in polarized light",2024A&A...685A..54V,2403.02156,,,,,,
HK Tau B,hk-tau-b,hk-tau-b_edgeon-alma2020,mm,survey,images/hk-tau-b/hk-tau-b_edgeon-alma2020.png,ALMA / Band 7,0.89 mm continuum (HK Tau B edge-on disk),"Villenave et al. 2020, Fig. 1 (crop)",2020A&A...642A.164V,2008.06518,,,,,,
CW Tau,cw-tau,cw-tau_alma2022,mm,targeted,images/cw-tau/cw-tau_alma2022.png,ALMA / ALMA (Bands 4/6/7/8),0.89 mm (Band 7; also 0.75/1.3/2.2 mm),"Ueda et al. 2022, Fig. 1 (crop)",2022ApJ...930...56U,2203.16236,,,,,,
HD 202917,hd-202917,hd-202917_nicmos-ren2023,nir,survey,images/hd-202917/hd-202917_nicmos-ren2023.png,HST / NICMOS,F110W 1.12 um (NMF reprocessing),"Ren et al. 2023, Fig. 3 (crop)",2023A&A...672A.114R,2302.04273,,,,,,
HD 38858,hd-38858,hd-38858_reasons,mm,survey,images/hd-38858/hd-38858_reasons.png,ALMA/SMA / Band 6/7,~0.9-1.3 mm continuum,"Matrà et al. 2025, Fig. 1 (crop)",2025A&A...693A.151M,2501.09058,,,,,,
LkHa 330,lkha-330,lkha-330_keck-vortex-2024,nir,survey,images/lkha-330/lkha-330_keck-vortex-2024.png,Keck / NIRC2 vortex,L' 3.8 um scattered light (ALMA contours overlaid),"Wallack et al. 2024, Fig. 4 (crop)",2024AJ....168...78W,2408.04048,,,,,,
HD 32297,hd-32297,hd-32297_carma2008,mm,targeted,images/hd-32297/hd-32297_carma2008.png,CARMA / CARMA,1.3 mm continuum (CARMA),Maness et al. 2008 (crop),2008ApJ...686L..25M,0808.3582,,,,,,
HD 32297,hd-32297,hd-32297_lbti2014,nir,targeted,images/hd-32297/hd-32297_lbti2014.png,LBT / LBTI/LMIRCam,L' (3.8 um),"Rodigas et al. 2014, Fig. 1 (crop)",2014ApJ...783...21R,1401.3343,,,,,,
LkCa 15,lkca-15,lkca-15_magao2022,vis,survey,images/lkca-15/lkca-15_magao2022.png,Magellan-MagAO / VisAO,Halpha differential imaging (2014 Nov 16 epoch),"Follette et al. 2023, Fig. 11 (crop)",2023AJ....165..225F,2211.02109,,,,,,
V960 Mon,v960-mon,v960-mon_zurlo2024,nir,targeted,images/v960-mon/v960-mon_zurlo2024.png,VLT-SPHERE / IRDIS,"H band 1.65 um (polarized intensity, PI)","Zurlo et al. 2024, Fig. 1 (crop)",2024A&A...686A.309Z,2403.12124,,,,,,
HD 163296,hd-163296,hd-163296_alma-isella2016,mm,targeted,images/hd-163296/hd-163296_alma-isella2016.png,ALMA / Band 6,"1.3 mm continuum (ring discovery, 0.22x0.14 arcsec beam)","Isella et al. 2016, Fig. 1 (crop: continuum panel)",2016PhRvL.117y1101I,,,,,,,
TYC 9340-437-1,tyc-9340-437-1,tyc-9340-437-1_arks,mm,survey,images/tyc-9340-437-1/tyc-9340-437-1_arks.png,ALMA / Band 7/6,~0.88-1.3 mm continuum,"Marino et al. 2026, Fig. 3 (crop)",2026A&A...705A.195M,2601.11708,,,,,,
HD 35841,hd-35841,hd-35841_gpies-debris,nir,survey,images/hd-35841/hd-35841_gpies-debris.png,Gemini-GPI / IFS pol,H band 1.6 um (pol. intensity),"Esposito et al. 2020, Fig. 5 (crop)",2020AJ....160...24E,2004.13722,,,,,,
49 Cet,49-cet,49-cet_sphere-debris-2025,nir,survey,images/49-cet/49-cet_sphere-debris-2025.png,VLT-SPHERE / IRDIS DPI,H band 1.6 um (pol. intensity),"Engler et al. 2025, Fig. 5a (crop)",2025A&A...704A..21E,2512.03128,,,,,,
alpha Cen A,alpha-cen-a,alpha-cen-a_near2021,mir,survey,images/alpha-cen-a/alpha-cen-a_near2021.png,VLT / NEAR/VISIR,N-band (~10-12.5 um) mid-IR coronagraphy; habitable-zone candidate 'C1',"Wagner et al. 2021, Fig. 3a (NEAR campaign image, candidate C1; crop)",2021NatCo..12..922W,2102.05159,,,,,,
IRAS 04302+2247,iras-04302-2247,iras-04302-2247_edgeon-alma2020-b4,mm,survey,images/iras-04302-2247/iras-04302-2247_edgeon-alma2020-b4.png,ALMA / Band 4,2.1 mm continuum (edge-on),"Villenave et al. 2020, Fig. 1 (crop)",2020A&A...642A.164V,2008.06518,,,,,,
CQ Tau,cq-tau,cq-tau_pdbi-2.7mm2011,mm,targeted,images/cq-tau/cq-tau_pdbi-2.7mm2011.png,SMA/PdBI/VLA / SMA 850um + IRAM-PdBI mm + VLA cm,2.7 mm continuum,"Banzatti et al. 2011, Fig. 1 (crop: 2.7mm)",2011A&A...525A..12B,1009.2697,,,,,,
HD 191089,hd-191089,hd-191089_nicmos-ren2019,nir,survey,images/hd-191089/hd-191089_nicmos-ren2019.png,HST / NICMOS,F110W 1.12 um (NICMOS NMF),"Ren et al. 2019, Fig. 1b (crop)",2019ApJ...882...64R,1908.00006,,,,,,
Tau 042021,tau-042021,tau-042021_edgeon-alma2020,mm,survey,images/tau-042021/tau-042021_edgeon-alma2020.png,ALMA / Band 7,0.89 mm continuum (edge-on),"Villenave et al. 2020, Fig. 1 (crop)",2020A&A...642A.164V,2008.06518,,,,,,
AB Aur,ab-aur,ab-aur_dykes2024-k,nir,targeted,images/ab-aur/ab-aur_dykes2024-k.png,Subaru-SCExAO / CHARIS,"K band 1.93-2.36 um (Qphi, 2020-10-04 epoch)","Dykes et al. 2024, Fig. 2 top (crop)",2024ApJ...977..172D,2410.11939,,,,,,
HD 30447,hd-30447,hd-30447_gpies-debris,nir,survey,images/hd-30447/hd-30447_gpies-debris.png,Gemini-GPI / IFS pol,H band 1.6 um (pol. intensity),"Esposito et al. 2020, Fig. 5 (crop)",2020AJ....160...24E,2004.13722,,,,,,
GM Aur,gm-aur,gm-aur_alma-maps2021,mm,survey,images/gm-aur/gm-aur_alma-maps2021.png,ALMA / Band 6 (CO line),13CO 2-1 zeroth moment,"Oberg et al. 2021, Fig. 6 (crop)",2021ApJS..257....1O,2109.06268,,,,,,
beta Pic,beta-pic,beta-pic_reasons,mm,survey,images/beta-pic/beta-pic_reasons.png,ALMA/SMA / Band 6/7,~0.9-1.3 mm continuum,"Matrà et al. 2025, Fig. 1 (crop)",2025A&A...693A.151M,2501.09058,,,,,,
